,adult,backdrop_path,belongs_to_collection,budget,genres,genres_0_name,genres_1_name,genres_2_name,genres_3_name,genres_4_name,genres_5_id,genres_5_name,genres_6_id,genres_6_name,homepage,id,imdb_id,origin_country,origin_country_0,origin_country_1,origin_country_2,origin_country_3,origin_country_4,original_language,original_title,overview,popularity,poster_path,production_companies,production_companies_0_id,production_companies_0_logo_path,production_companies_0_name,production_companies_0_origin_country,production_companies_10_id,production_companies_10_logo_path,production_companies_10_name,production_companies_10_origin_country,production_companies_11_id,production_companies_11_logo_path,production_companies_11_name,production_companies_11_origin_country,production_companies_12_id,production_companies_12_logo_path,production_companies_12_name,production_companies_12_origin_country,production_companies_13_id,production_companies_13_logo_path,production_companies_13_name,production_companies_13_origin_country,production_companies_14_id,production_companies_14_logo_path,production_companies_14_name,production_companies_14_origin_country,production_companies_15_id,production_companies_15_logo_path,production_companies_15_name,production_companies_15_origin_country,production_companies_16_id,production_companies_16_logo_path,production_companies_16_name,production_companies_16_origin_country,production_companies_1_id,production_companies_1_logo_path,production_companies_1_name,production_companies_1_origin_country,production_companies_2_id,production_companies_2_logo_path,production_companies_2_name,production_companies_2_origin_country,production_companies_3_id,production_companies_3_logo_path,production_companies_3_name,production_companies_3_origin_country,production_companies_4_id,production_companies_4_logo_path,production_companies_4_name,production_companies_4_origin_country,production_companies_5_id,production_companies_5_logo_path,production_companies_5_name,production_companies_5_origin_country,production_companies_6_id,production_companies_6_logo_path,production_companies_6_name,production_companies_6_origin_country,production_companies_7_id,production_companies_7_logo_path,production_companies_7_name,production_companies_7_origin_country,production_companies_8_id,production_companies_8_logo_path,production_companies_8_name,production_companies_8_origin_country,production_companies_9_id,production_companies_9_logo_path,production_companies_9_name,production_companies_9_origin_country,production_countries,production_countries_0_iso_3166_1,production_countries_0_name,production_countries_1_iso_3166_1,production_countries_1_name,production_countries_2_iso_3166_1,production_countries_2_name,production_countries_3_iso_3166_1,production_countries_3_name,production_countries_4_iso_3166_1,production_countries_4_name,production_countries_5_iso_3166_1,production_countries_5_name,release_date,revenue,runtime,spoken_languages,spoken_languages_0_english_name,spoken_languages_0_iso_639_1,spoken_languages_10_english_name,spoken_languages_10_iso_639_1,spoken_languages_10_name,spoken_languages_1_english_name,spoken_languages_1_iso_639_1,spoken_languages_1_name,spoken_languages_2_english_name,spoken_languages_2_iso_639_1,spoken_languages_2_name,spoken_languages_3_english_name,spoken_languages_3_iso_639_1,spoken_languages_3_name,spoken_languages_4_english_name,spoken_languages_4_iso_639_1,spoken_languages_4_name,spoken_languages_5_english_name,spoken_languages_5_iso_639_1,spoken_languages_5_name,spoken_languages_6_english_name,spoken_languages_6_iso_639_1,spoken_languages_6_name,spoken_languages_7_english_name,spoken_languages_7_iso_639_1,spoken_languages_7_name,spoken_languages_8_english_name,spoken_languages_8_iso_639_1,spoken_languages_8_name,spoken_languages_9_english_name,spoken_languages_9_iso_639_1,spoken_languages_9_name,status,tagline,title,video,vote_average,vote_count
0,False,/417tYZ4XUyJrtyZXj7HpvWf1E8f.jpg,,78000000,,Animation,Science Fiction,Family,,,,,,,https://www.thewildrobotmovie.com,1184918,tt29623480,,US,,,,,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",5173.119,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,,521.0,/3BPX5VGBov8SDqTV7wC1L1xShAS.png,DreamWorks Animation,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,2024-09-12,197296880,102,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,Discover your true nature.,The Wild Robot,False,8.7,1363
1,False,/9SSEUrSqhljBMzRe4aBTh17rUaC.jpg,,80000000,,Science Fiction,Horror,,,,,,,,https://www.20thcenturystudios.com/movies/alien-romulus,945961,tt18412256,,US,,,,,en,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",3297.462,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,,127928.0,/h0rjX5vjW5r8yEnUBStFarjcLT4.png,20th Century Studios,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221347.0,/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png,Scott Free Productions,US,401.0,/t7mM3DvQ9MwDT3YzMCBrkWpWiiz.png,Brandywine Productions,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,2024-08-13,348521150,119,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,"In space, no one can hear you.",Alien: Romulus,False,7.3,1829
2,False,/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg,,17500000,,Horror,Drama,Science Fiction,,,,,,,https://www.the-match-factory.com/catalogue/films/the-substance.html,933260,tt17526714,,GB,,,,,en,The Substance,"A fading celebrity decides to usea black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2847.597,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,,10163.0,/16KWBMmfPX0aJzDExDrPxSLj0Pg.png,Working Title Films,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233939.0,,Blacksmith,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PH,Philippines,,,,,,,,,,,2024-09-07,29106531,141,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,"If you follow the instructions, what could go wrong?",The Substance,False,7.3,829
3,False,/yDHYTfA3R0jFYba16jBB1ef8oIt.jpg,,200000000,,Action,Comedy,Science Fiction,,,,,,,https://www.marvel.com/movies/deadpool-and-wolverine,533535,tt6263850,,US,,,,,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2097.211,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,,420.0,/hUzeosd33nzE5MCNsZxCGEKTXaQ.png,Marvel Studios,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104228.0,/hx0C1XcSxGgat8N62GpxoJGTkCk.png,Maximum Effort,US,2575.0,/9YJrHYlcfHtwtulkFMAies3aFEl.png,21 Laps Entertainment,US,127928.0,/h0rjX5vjW5r8yEnUBStFarjcLT4.png,20th Century Studios,US,176762.0,,Kevin Feige Productions,US,22213.0,/qx9K6bFWJupwde0xQDwOvXkOaL8.png,TSG Entertainment,US,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,2024-07-24,1334640330,128,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,Come together.,Deadpool & Wolverine,False,7.713,4748
4,False,/3sh2UA2Q2l7fihgoj1LhFFPTlIM.jpg,,110000000,,Action,Science Fiction,Adventure,,,,,,,https://venom.movie,912649,tt16366836,,US,,,,,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2138.723,/k42Owka8v91trK1qMYwCQCNwJKr.jpg,,5.0,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84041.0,/nw4kyc29QRpNtFbdsBHkRSFavvt.png,Pascal Pictures,US,53462.0,/nx8B3Phlcse02w86RW4CJqzCnfL.png,Matt Tolmach Productions,US,91797.0,,Hutch Parker Entertainment,US,14439.0,,Arad Productions,US,,,,,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,2024-10-22,0,109,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,'Til death do they part.,Venom: The Last Dance,False,7.2,28
5,False,/4KHEK6AQFHhv4TDtL3KLReePB05.jpg,,12000000,,Action,Horror,Thriller,,,,,,,,1029235,tt22173666,,US,,,,,en,Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",1310.888,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg,,184518.0,/lOouI8ibBzhLI4qvku74FPUVT8t.png,C2 Motion Picture Group,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144.0,/iarVMSGDqo8sAHPxz6duesUBRXG.png,Homeless Bob Production,EE,232289.0,,Traffic.,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE,Estonia,US,United States of America,,,,,,,,,2024-09-27,0,86,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,"Many years after the rapture… Among the survivors, some are driven to renounce their sin of Speech.",Azrael,False,6.0,86
6,False,/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,,200000000,,Animation,Family,Adventure,Comedy,Drama,,,,,https://movies.disney.com/inside-out-2,1022789,tt22022452,,US,,,,,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",1374.503,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,,2.0,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png,Pixar,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,2024-06-11,1682636477,97,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,Make room for new emotions.,Inside Out 2,False,7.616,4448
7,False,/eQEgKIRF7KeVGBQ8IYcklpU8RPf.jpg,,2000000,,Horror,Thriller,,,,,,,,https://terrifier3.com/,1034541,tt27911000,,US,,,,,en,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",1257.368,/63xYQj1BwRFielxsBDXvHIJyXVm.jpg,,238902.0,/jLAg5fOlAw1Jl8Q7WoyKxh1H22y.png,Cineverse,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15157.0,/yezzLb9RbKNtQUsyYySAqC9TQr7.png,Bloody Disgusting,US,84591.0,,Dark Age Cinema,US,114220.0,/b5n3DtfUySREkq4Xi962zMg69qq.png,Fuzz on the Lens Productions,US,213025.0,/bFz17QGqfF8wiQAH3T4kfzKC8dU.png,The Coven,US,,,,,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,2024-10-09,41643487,125,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,"You better not shout, you better not cry.",Terrifier 3,False,7.0,114
8,False,/g1z1ZvYKcmk9EnVOTYXR6vkNjkZ.jpg,,0,,Fantasy,Horror,Action,,,,,,,https://millennium-media.net/mf-films/hellboy-crooked-man,1087822,tt26757462,,US,,,,,en,Hellboy: The Crooked Man,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",888.056,/iz2GabtToVB05gLTVSH7ZvFtsMM.jpg,,552.0,/9dGdLfm3GteWeUDtD9c9tvlidUG.png,Dark Horse Entertainment,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,/kuUIHNwMec4dwOLghDhhZJzHZTd.png,Millennium Media,US,823.0,/275O5OoKjulWtY1uRHRXaYsrt9I.png,Telepool,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE,Germany,US,United States of America,,,,,,,,,2024-08-29,1289658,100,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,Something crooked this way comes.,Hellboy: The Crooked Man,False,4.983,147
9,False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,,100000000,,Animation,Family,Comedy,Action,,,,,,https://www.despicable.me,519182,tt7510222,,US,,,,,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",1040.744,/3w84hCFJATpiCO5g8hpdWVPBbmq.jpg,,33.0,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6704.0,/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png,Illumination,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,2024-06-20,953140610,94,,English,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released,Things just got a little more despicable.,Despicable Me 4,False,7.1,2041
