,adult,backdrop_path,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path,belongs_to_collection
0,False,/417tYZ4XUyJrtyZXj7HpvWf1E8f.jpg,78000000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",https://www.thewildrobotmovie.com,1184918,tt29623480,['US'],en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",6191.489,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"[{'id': 521, 'logo_path': '/3BPX5VGBov8SDqTV7wC1L1xShAS.png', 'name': 'DreamWorks Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-09-12,197296880,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Discover your true nature.,The Wild Robot,False,8.7,1236,1370345.0,The Wild Robot Collection,,/f6G8QPeod5ngQMs5Fe1O4LdphB7.jpg,
1,False,/9SSEUrSqhljBMzRe4aBTh17rUaC.jpg,80000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",https://www.20thcenturystudios.com/movies/alien-romulus,945961,tt18412256,['US'],en,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",5036.941,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 221347, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'US'}, {'id': 401, 'logo_path': '/t7mM3DvQ9MwDT3YzMCBrkWpWiiz.png', 'name': 'Brandywine Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-08-13,348521150,119,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In space, no one can hear you.",Alien: Romulus,False,7.272,1793,,,,,
2,False,/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg,17500000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.the-match-factory.com/catalogue/films/the-substance.html,933260,tt17526714,['GB'],en,The Substance,"Have you ever dreamt of a better version of yourself? You, only better in every way. You should try this new product, it’s called The Substance. IT CHANGED MY LIFE. With The Substance, you can generate another you: younger, more beautiful, more perfect. You just have to share time – one week for one, one week for the other. A perfect balance of seven days each... Easy right? If you respect the balance... What could possibly go wrong?",3860.339,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,"[{'id': 10163, 'logo_path': '/16KWBMmfPX0aJzDExDrPxSLj0Pg.png', 'name': 'Working Title Films', 'origin_country': 'GB'}, {'id': 233939, 'logo_path': None, 'name': 'Blacksmith', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2024-09-07,29106531,141,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"If you follow the instructions, what could go wrong?",The Substance,False,7.3,772,,,,,
3,False,/yDHYTfA3R0jFYba16jBB1ef8oIt.jpg,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.marvel.com/movies/deadpool-and-wolverine,533535,tt6263850,['US'],en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2465.552,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 104228, 'logo_path': '/hx0C1XcSxGgat8N62GpxoJGTkCk.png', 'name': 'Maximum Effort', 'origin_country': 'US'}, {'id': 2575, 'logo_path': '/9YJrHYlcfHtwtulkFMAies3aFEl.png', 'name': '21 Laps Entertainment', 'origin_country': 'US'}, {'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 176762, 'logo_path': None, 'name': 'Kevin Feige Productions', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-07-24,1334640330,128,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Come together.,Deadpool & Wolverine,False,7.7,4701,448150.0,Deadpool Collection,/4y20YJ1F3z7Biptt2XBX1RXOSUr.jpg,/hBQOWY8qWXJVFAc8yLTh1teIu43.jpg,
4,False,/4KHEK6AQFHhv4TDtL3KLReePB05.jpg,12000000,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,1029235,tt22173666,['US'],en,Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",1944.879,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg,"[{'id': 184518, 'logo_path': '/lOouI8ibBzhLI4qvku74FPUVT8t.png', 'name': 'C2 Motion Picture Group', 'origin_country': 'US'}, {'id': 6144, 'logo_path': '/iarVMSGDqo8sAHPxz6duesUBRXG.png', 'name': 'Homeless Bob Production', 'origin_country': 'EE'}, {'id': 232289, 'logo_path': None, 'name': 'Traffic.', 'origin_country': 'US'}]","[{'iso_3166_1': 'EE', 'name': 'Estonia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-09-27,0,86,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Many years after the rapture… Among the survivors, some are driven to renounce their sin of Speech.",Azrael,False,6.0,82,,,,,
5,False,/xi1VSt3DtkevUmzCx2mNlCoDe74.jpg,100000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",https://www.beetlejuicemovie.com,917496,tt2049403,['US'],en,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",1667.313,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 360, 'logo_path': '/hbDlIbBdBe0nVFTeZ7hDX3d5n2N.png', 'name': 'Geffen Pictures', 'origin_country': 'US'}, {'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}, {'id': 8601, 'logo_path': '/kqubCH3sfBAk4znUj7hjqv8ffgi.png', 'name': 'Tim Burton Productions', 'origin_country': 'US'}, {'id': 216687, 'logo_path': None, 'name': 'Domain Entertainment', 'origin_country': 'US'}, {'id': 228708, 'logo_path': None, 'name': 'Tommy Harper Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-09-04,434074251,105,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Vietnamese', 'iso_639_1': 'vi', 'name': 'Tiếng Việt'}]",Released,The ghost with the most is back.,Beetlejuice Beetlejuice,False,7.208,1483,945475.0,Beetlejuice Collection,/2N5c3ue4bxvTO5OO3bOjHPJZs3H.jpg,/bJ76WnTj7G8dYQSZJvZejna262D.jpg,
6,False,/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",https://movies.disney.com/inside-out-2,1022789,tt22022452,['US'],en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",1538.172,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-06-11,1682636477,97,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Make room for new emotions.,Inside Out 2,False,7.617,4427,1022790.0,Inside Out Collection,/kvJqs0vm29U0xJa373wlzHb3FRh.jpg,/7U2m2dMSIfHx2gWXKq78Xj1weuH.jpg,
7,False,/eQEgKIRF7KeVGBQ8IYcklpU8RPf.jpg,2000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",https://terrifier3.com/,1034541,tt27911000,['US'],en,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",1423.404,/63xYQj1BwRFielxsBDXvHIJyXVm.jpg,"[{'id': 238902, 'logo_path': '/jLAg5fOlAw1Jl8Q7WoyKxh1H22y.png', 'name': 'Cineverse', 'origin_country': 'US'}, {'id': 15157, 'logo_path': '/yezzLb9RbKNtQUsyYySAqC9TQr7.png', 'name': 'Bloody Disgusting', 'origin_country': 'US'}, {'id': 84591, 'logo_path': None, 'name': 'Dark Age Cinema', 'origin_country': 'US'}, {'id': 114220, 'logo_path': '/b5n3DtfUySREkq4Xi962zMg69qq.png', 'name': 'Fuzz on the Lens Productions', 'origin_country': 'US'}, {'id': 213025, 'logo_path': '/bFz17QGqfF8wiQAH3T4kfzKC8dU.png', 'name': 'The Coven', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-10-09,41643487,125,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"You better not shout, you better not cry.",Terrifier 3,False,7.1,100,727761.0,Terrifier Collection,/4xIzrMcEvCzJm5qAl92WMHLSIeM.jpg,/zREjCmCHIHdEF6ufPoDQjhl4Wdm.jpg,
8,False,/3m0j3hCS8kMAaP9El6Vy5Lqnyft.jpg,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",https://www.netflix.com/title/81284730,1125510,tt27729779,['ES'],es,El hoyo 2,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",1091.003,/izuzUb0sDokqp9o8utVfsrSJuy5.jpg,"[{'id': 52270, 'logo_path': None, 'name': 'Basque Films', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2024-09-27,0,100,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Platform 2,False,5.68,664,1126392.0,The Platform Collection,/nhzz8k3Kh1roYdPvbryX3VtgLZN.jpg,/m7REj1vsxi2aEcwT7iFHPRXbwgN.jpg,
9,False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,100000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",https://www.despicable.me,519182,tt7510222,['US'],en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",1391.16,/3w84hCFJATpiCO5g8hpdWVPBbmq.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-06-20,953140610,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Things just got a little more despicable.,Despicable Me 4,False,7.114,2033,86066.0,Despicable Me Collection,/95prV91f4DxkBnLU43YjLbU1m3q.jpg,/37xamYKRUGCRux532lKcZdVGYuR.jpg,
