id,title,original_language,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,genres_0_name,genres_1_name,genres_2_name,production_companies_0_name,production_companies_1_name,production_companies_2_name,production_countries_0_name,movie_id,actor_1,actor_2,actor_3,profit,roi
6977,No Country for Old Men,en,2007-06-13,25000000,171627166.0,122.0,59.051,7.9,11899.0,Crime,Drama,Thriller,Miramax,Paramount Vantage,Scott Rudin Productions,United States of America,6977,Woody Harrelson,Josh Brolin,Javier Bardem,146627166.0,5.86508664
257445,Goosebumps,en,2015-08-05,58000000,158261424.0,103.0,73.612,6.3,3725.0,Adventure,Horror,Comedy,Original Film,Scholastic Entertainment,Columbia Pictures,United States of America,257445,Jack Black,Dylan Minnette,Halston Sage,100261424.0,1.7286452413793103
762430,Retribution,en,2023-08-23,20000000,16700000.0,91.0,51.564,6.657,1125.0,Thriller,Action,Adventure,The Picture Company,Ombra Films,StudioCanal,France,762430,Liam Neeson,Embeth Davidtz,Jack Champion,-3300000.0,-0.165
3933,Corpse Bride,en,2005-09-12,40000000,118133252.0,77.0,802.695,7.573,9124.0,Romance,Fantasy,Animation,Tim Burton Productions,Laika,Patalex Productions,United Kingdom,3933,Johnny Depp,Christopher Lee,Helena Bonham Carter,78133252.0,1.9533313
1930,The Amazing Spider-Man,en,2012-06-23,215000000,757930663.0,136.0,109.514,6.706,17246.0,Action,Adventure,Science Fiction,Marvel Entertainment,Laura Ziskin Productions,Columbia Pictures,United States of America,1930,Andrew Garfield,Emma Stone,Kelsey Asbille,542930663.0,2.525258897674419
9360,Anaconda,en,1997-04-11,45000000,136900000.0,89.0,53.09,5.205,2457.0,Adventure,Horror,Thriller,St. Tropez Films,Cinema Line Film Corporation,Middle Fork Productions,Brazil,9360,Jennifer Lopez,Owen Wilson,Danny Trejo,91900000.0,2.042222222222222
949,Heat,en,1995-12-15,60000000,187400000.0,170.0,90.958,7.917,7235.0,Action,Crime,Drama,Warner Bros. Pictures,Regency Enterprises,Forward Pass,United States of America,949,Al Pacino,Natalie Portman,Robert De Niro,127400000.0,2.1233333333333335
1250,Ghost Rider,en,2007-01-15,110000000,228738393.0,114.0,70.84,5.575,5868.0,Thriller,Action,Fantasy,Crystal Sky Pictures,Relativity Media,Columbia Pictures,United States of America,1250,Nicolas Cage,Eva Mendes,Sam Elliott,118738393.0,1.0794399363636364
286217,The Martian,en,2015-09-30,108000000,631058917.0,141.0,46.962,7.687,19603.0,Drama,Adventure,Science Fiction,Genre Films,TSG Entertainment,20th Century Fox,United States of America,286217,Matt Damon,Naomi Scott,Kate Mara,523058917.0,4.84313812037037
522938,Rambo: Last Blood,en,2019-09-19,50000000,91500000.0,89.0,67.842,6.546,3854.0,Action,Thriller,Drama,Millennium Media,Templeton Media,Campbell Grobman Films,China,522938,Sylvester Stallone,Paz Vega,Jessica Madsen,41500000.0,0.83
303903,Pokémon the Movie: Diancie and the Cocoon of Destruction,ja,2014-07-19,24720400,0.0,76.0,35.992,6.626,179.0,Animation,Family,Adventure,jeki,OLM,Pikachu Project,Japan,303903,Marika Matsumoto,Mariya Ise,Megumi Hayashibara,-24720400.0,-1.0
36586,Blade II,en,2002-03-22,54000000,155010032.0,117.0,47.349,6.6,4670.0,Fantasy,Horror,Action,New Line Cinema,Amen Ra Films,Imaginary Forces,United States of America,36586,Wesley Snipes,Donnie Yen,Norman Reedus,101010032.0,1.870556148148148
159824,Hotel Transylvania 2,en,2015-09-21,80000000,473200000.0,89.0,62.59,6.8,5697.0,Animation,Comedy,Family,Columbia Pictures,Sony Pictures Animation,MRC,United States of America,159824,Sunny Sandler,Adam Sandler,Sadie Sandler,393200000.0,4.915
70981,Prometheus,en,2012-05-30,130000000,403354469.0,124.0,103.319,6.6,12119.0,Science Fiction,Adventure,Mystery,Dune Entertainment,20th Century Fox,Brandywine Productions,United States of America,70981,Michael Fassbender,Charlize Theron,Idris Elba,273354469.0,2.1027266846153845
10136,The Golden Child,en,1986-12-12,25000000,79817939.0,94.0,38.107,5.9,1060.0,Action,Adventure,Comedy,Eddie Murphy Productions,Feldman/Meeker Productions,Paramount Pictures,United States of America,10136,Charles Dance,Eddie Murphy,James Hong,54817939.0,2.19271756
49009,The Way Back,en,2010-11-22,30000000,24200000.0,133.0,40.621,7.0,1549.0,Drama,Adventure,History,Kontsept Film Company,Image Nation Abu Dhabi,Exclusive Films,India,49009,Colin Farrell,Saoirse Ronan,Mark Strong,-5800000.0,-0.19333333333333333
12837,The Secret Life of Bees,en,2008-09-17,11000000,38105395.0,114.0,46.081,7.5,506.0,Family,Adventure,Drama,Dune Entertainment III,Fox Searchlight Pictures,The Donners' Company,United States of America,12837,Dakota Fanning,Jennifer Hudson,Hilarie Burton,27105395.0,2.464126818181818
